Año,Periodo,inflacion
1996,Enero,9.76
1996,Febrero,10.83
1996,Marzo,11.48
1996,Abril,11.95
1996,Mayo,11.02
1996,Junio,10.34
1996,Julio,11.6
1996,Agosto,12.03
1996,Septiembre,11.77
1996,Octubre,10.64
1996,Noviembre,10.44
1996,Diciembre,10.85
1997,Enero,10.8
1997,Febrero,12.66
1997,Marzo,11.51
1997,Abril,10.13
1997,Mayo,9.61
1997,Junio,8.97
1997,Julio,7.98
1997,Agosto,8.05
1997,Septiembre,8.33
1997,Octubre,8.48
1997,Noviembre,7.66
1997,Diciembre,7.13
1998,Enero,7.29
1998,Febrero,5.45
1998,Marzo,6.11
1998,Abril,6.94
1998,Mayo,7.32
1998,Junio,7.43
1998,Julio,7.27
1998,Agosto,6.31
1998,Septiembre,5.49
1998,Octubre,4.97
1998,Noviembre,7.35
1998,Diciembre,7.48
1999,Enero,6.29
1999,Febrero,5.17
1999,Marzo,3.99
1999,Abril,3.47
1999,Mayo,3.73
1999,Junio,4.22
1999,Julio,5.22
1999,Agosto,6.03
1999,Septiembre,6.79
1999,Octubre,7.57
1999,Noviembre,5.15
1999,Diciembre,4.92
2000,Enero,5.27
2000,Febrero,6.62
2000,Marzo,8.28
2000,Abril,9.07
2000,Mayo,7.36
2000,Junio,7.23
2000,Julio,6.14
2000,Agosto,4.71
2000,Septiembre,4.29
2000,Octubre,3.84
2000,Noviembre,4.17
2000,Diciembre,5.08
2001,Enero,6.05
2001,Febrero,5.99
2001,Marzo,5.42
2001,Abril,4.87
2001,Mayo,6.05
2001,Junio,6.3
2001,Julio,6.97
2001,Agosto,8.79
2001,Septiembre,8.99
2001,Octubre,9.47
2001,Noviembre,9.51
2001,Diciembre,8.91
2002,Enero,8.85
2002,Febrero,9.01
2002,Marzo,9.13
2002,Abril,9.25
2002,Mayo,9.31
2002,Junio,9.14
2002,Julio,9.1
2002,Agosto,7.73
2002,Septiembre,7.1
2002,Octubre,6.6
2002,Noviembre,6.34
2002,Diciembre,6.33
2003,Enero,6.2
2003,Febrero,6
2003,Marzo,5.78
2003,Abril,5.67
2003,Mayo,5.56
2003,Junio,5.24
2003,Julio,4.65
2003,Agosto,4.96
2003,Septiembre,5.68
2003,Octubre,5.84
2003,Noviembre,5.84
2003,Diciembre,5.85
2004,Enero,6.21
2004,Febrero,6.26
2004,Marzo,6.57
2004,Abril,6.65
2004,Mayo,7.27
2004,Junio,7.4
2004,Julio,7.64
2004,Agosto,7.66
2004,Septiembre,8.05
2004,Octubre,8.64
2004,Noviembre,9.22
2004,Diciembre,9.23
2005,Enero,9.04
2005,Febrero,9.04
2005,Marzo,8.77
2005,Abril,8.88
2005,Mayo,8.52
2005,Junio,8.8
2005,Julio,9.3
2005,Agosto,9.37
2005,Septiembre,9.45
2005,Octubre,10.29
2005,Noviembre,9.25
2005,Diciembre,8.57
2006,Enero,8.08
2006,Febrero,7.26
2006,Marzo,7.28
2006,Abril,7.48
2006,Mayo,7.62
2006,Junio,7.55
2006,Julio,7.04
2006,Agosto,7
2006,Septiembre,5.7
2006,Octubre,3.85
2006,Noviembre,4.4
2006,Diciembre,5.79
2007,Enero,6.22
2007,Febrero,6.62
2007,Marzo,7.02
2007,Abril,6.4
2007,Mayo,5.47
2007,Junio,5.31
2007,Julio,5.59
2007,Agosto,6.21
2007,Septiembre,7.33
2007,Octubre,7.72
2007,Noviembre,9.13
